"";"code";"y"
"5748";"ICD-K220";"ICD-K00-K95"
"5749";"ICD-N131";"ICD-N00-N99"
"5750";"ICD-N271";"ICD-N00-N99"
"5751";"ICD-N350";"ICD-N00-N99"
"5752";"ICD-T138";"ICD-S00-T98"
"5753";"ICD-F983";"ICD-F01-F99"
"5754";"ICD-N210";"ICD-N00-N99"
"5755";"ICD-T192";"ICD-S00-T98"
"5756";"ICD-Q179";"ICD-Q00-Q99"
"5757";"ICD-M089";"ICD-M00-M99"
"5758";"ICD-E702";"ICD-E00-E89"
"5759";"ICD-G328";"ICD-G00-G99"
"5760";"ICD-D290";"ICD-C00-D49"
"5761";"ICD-Y280";"ICD-V00-Y99"
"5762";"ICD-W558";"ICD-V00-Y99"
"5763";"ICD-J323";"ICD-J00-J99"
"5764";"ICD-X159";"ICD-V00-Y99"
"5765";"ICD-V870";"ICD-V00-Y99"
"5766";"ICD-W153";"ICD-V00-Y99"
"5767";"ICD-N830";"ICD-N00-N99"
"5768";"ICD-Q781";"ICD-Q00-Q99"
"5769";"ICD-I400";"ICD-I00-I99"
"5770";"ICD-E060";"ICD-E00-E89"
"5771";"ICD-S960";"ICD-S00-T98"
"5772";"ICD-S310";"ICD-S00-T98"
"5773";"ICD-T148";"ICD-S00-T98"
"5774";"ICD-A161";"ICD-A00-B99"
"5775";"ICD-E618";"ICD-E00-E89"
"5776";"ICD-G242";"ICD-G00-G99"
"5777";"ICD-A022";"ICD-A00-B99"
"5778";"ICD-I738";"ICD-I00-I99"
"5779";"ICD-Y484";"ICD-V00-Y99"
"5780";"ICD-H038";"ICD-H00-H59"
"5781";"ICD-R290";"ICD-R00-R99"
"5782";"ICD-D105";"ICD-C00-D49"
"5783";"ICD-C349";"ICD-C00-D49"
"5784";"ICD-C398";"ICD-C00-D49"
"5785";"ICD-D899";"ICD-D50-D89"
"5786";"ICD-Q782";"ICD-Q00-Q99"
"5787";"ICD-J207";"ICD-J00-J99"
"5788";"ICD-W560";"ICD-V00-Y99"
"5789";"ICD-C790";"ICD-C00-D49"
"5790";"ICD-Y710";"ICD-V00-Y99"
"5791";"ICD-M242";"ICD-M00-M99"
"5792";"ICD-Y521";"ICD-V00-Y99"
"5793";"ICD-H830";"ICD-H60-H95"
"5794";"ICD-Q139";"ICD-Q00-Q99"
"5795";"ICD-Z764";"ICD-Z00-Z99"
"5796";"ICD-T921";"ICD-S00-T98"
"5797";"ICD-H213";"ICD-H00-H59"
"5798";"ICD-T390";"ICD-S00-T98"
"5799";"ICD-Q185";"ICD-Q00-Q99"
"5800";"ICD-P231";"ICD-P00-P96"
"5801";"ICD-E002";"ICD-E00-E89"
"5802";"ICD-S680";"ICD-S00-T98"
"5803";"ICD-S367";"ICD-S00-T98"
"5804";"ICD-S624";"ICD-S00-T98"
"5805";"ICD-T792";"ICD-S00-T98"
"5806";"ICD-S327";"ICD-S00-T98"
"5807";"ICD-W671";"ICD-V00-Y99"
"5808";"ICD-J013";"ICD-J00-J99"
"5809";"ICD-H138";"ICD-H00-H59"
"5810";"ICD-S276";"ICD-S00-T98"
"5811";"ICD-M253";"ICD-M00-M99"
"5812";"ICD-F738";"ICD-F01-F99"
"5813";"ICD-T816";"ICD-S00-T98"
"5814";"ICD-M726";"ICD-M00-M99"
"5815";"ICD-F639";"ICD-F01-F99"
"5816";"ICD-N700";"ICD-N00-N99"
"5817";"ICD-N709";"ICD-N00-N99"
"5818";"ICD-D24";"ICD-C00-D49"
"5819";"ICD-S807";"ICD-S00-T98"
"5820";"ICD-K263";"ICD-K00-K95"
"5821";"ICD-S971";"ICD-S00-T98"
"5822";"ICD-H400";"ICD-H00-H59"
"5823";"ICD-A151";"ICD-A00-B99"
"5824";"ICD-S140";"ICD-S00-T98"
"5825";"ICD-Q214";"ICD-Q00-Q99"
"5826";"ICD-P560";"ICD-P00-P96"
"5827";"ICD-F418";"ICD-F01-F99"
"5828";"ICD-F110";"ICD-F01-F99"
"5829";"ICD-A493";"ICD-A00-B99"
"5830";"ICD-E763";"ICD-E00-E89"
"5831";"ICD-R936";"ICD-R00-R99"
"5832";"ICD-P549";"ICD-P00-P96"
"5833";"ICD-A329";"ICD-A00-B99"
"5834";"ICD-W508";"ICD-V00-Y99"
"5835";"ICD-J320";"ICD-J00-J99"
"5836";"ICD-A502";"ICD-A00-B99"
"5837";"ICD-R450";"ICD-R00-R99"
"5838";"ICD-D590";"ICD-D50-D89"
"5839";"ICD-Y089";"ICD-V00-Y99"
"5840";"ICD-S460";"ICD-S00-T98"
"5841";"ICD-T928";"ICD-S00-T98"
"5842";"ICD-K500";"ICD-K00-K95"
"5843";"ICD-K574";"ICD-K00-K95"
"5844";"ICD-X439";"ICD-V00-Y99"
"5845";"ICD-A160";"ICD-A00-B99"
"5846";"ICD-Y566";"ICD-V00-Y99"
"5847";"ICD-R071";"ICD-R00-R99"
"5848";"ICD-K659";"ICD-K00-K95"
"5849";"ICD-E169";"ICD-E00-E89"
"5850";"ICD-I279";"ICD-I00-I99"
"5851";"ICD-E233";"ICD-E00-E89"
"5852";"ICD-K294";"ICD-K00-K95"
"5853";"ICD-A698";"ICD-A00-B99"
"5854";"ICD-N058";"ICD-N00-N99"
"5855";"ICD-N291";"ICD-N00-N99"
"5856";"ICD-R091";"ICD-R00-R99"
"5857";"ICD-X428";"ICD-V00-Y99"
"5858";"ICD-W193";"ICD-V00-Y99"
"5859";"ICD-T604";"ICD-S00-T98"
"5860";"ICD-X680";"ICD-V00-Y99"
"5861";"ICD-H331";"ICD-H00-H59"
"5862";"ICD-D512";"ICD-D50-D89"
"5863";"ICD-H449";"ICD-H00-H59"
"5864";"ICD-Y69";"ICD-V00-Y99"
"5865";"ICD-I741";"ICD-I00-I99"
"5866";"ICD-C913";"ICD-C00-D49"
"5867";"ICD-H678";"ICD-H60-H95"
"5868";"ICD-H526";"ICD-H00-H59"
"5869";"ICD-X850";"ICD-V00-Y99"
"5870";"ICD-Q502";"ICD-Q00-Q99"
"5871";"ICD-C924";"ICD-C00-D49"
"5872";"ICD-D107";"ICD-C00-D49"
"5873";"ICD-S627";"ICD-S00-T98"
"5874";"ICD-D812";"ICD-D50-D89"
"5875";"ICD-C851";"ICD-C00-D49"
"5876";"ICD-Z857";"ICD-Z00-Z99"
"5877";"ICD-F518";"ICD-F01-F99"
"5878";"ICD-R463";"ICD-R00-R99"
"5879";"ICD-S497";"ICD-S00-T98"
"5880";"ICD-S507";"ICD-S00-T98"
"5881";"ICD-T098";"ICD-S00-T98"
"5882";"ICD-L518";"ICD-L00-L99"
"5883";"ICD-G453";"ICD-G00-G99"
"5884";"ICD-L817";"ICD-L00-L99"
"5885";"ICD-I259";"ICD-I00-I99"
"5886";"ICD-G230";"ICD-G00-G99"
"5887";"ICD-K929";"ICD-K00-K95"
"5888";"ICD-Z800";"ICD-Z00-Z99"
"5889";"ICD-W020";"ICD-V00-Y99"
"5890";"ICD-T250";"ICD-S00-T98"
"5891";"ICD-E279";"ICD-E00-E89"
"5892";"ICD-L708";"ICD-L00-L99"
"5893";"ICD-D102";"ICD-C00-D49"
"5894";"ICD-T206";"ICD-S00-T98"
"5895";"ICD-T320";"ICD-S00-T98"
"5896";"ICD-X451";"ICD-V00-Y99"
"5897";"ICD-G912";"ICD-G00-G99"
"5898";"ICD-G522";"ICD-G00-G99"
"5899";"ICD-X610";"ICD-V00-Y99"
"5900";"ICD-T632";"ICD-S00-T98"
"5901";"ICD-A311";"ICD-A00-B99"
"5902";"ICD-Z715";"ICD-Z00-Z99"
"5903";"ICD-U808";"ICD-U00-U91"
"5904";"ICD-B010";"ICD-A00-B99"
"5905";"ICD-Q280";"ICD-Q00-Q99"
"5906";"ICD-H368";"ICD-H00-H59"
"5907";"ICD-I720";"ICD-I00-I99"
"5908";"ICD-N492";"ICD-N00-N99"
"5909";"ICD-I450";"ICD-I00-I99"
"5910";"ICD-I349";"ICD-I00-I99"
"5911";"ICD-Y482";"ICD-V00-Y99"
"5912";"ICD-N418";"ICD-N00-N99"
"5913";"ICD-Q429";"ICD-Q00-Q99"
"5914";"ICD-A850";"ICD-A00-B99"
"5915";"ICD-L603";"ICD-L00-L99"
"5916";"ICD-F444";"ICD-F01-F99"
"5917";"ICD-S826";"ICD-S00-T98"
"5918";"ICD-V470";"ICD-V00-Y99"
"5919";"ICD-T428";"ICD-S00-T98"
"5920";"ICD-S092";"ICD-S00-T98"
"5921";"ICD-S299";"ICD-S00-T98"
"5922";"ICD-D320";"ICD-C00-D49"
"5923";"ICD-G371";"ICD-G00-G99"
"5924";"ICD-M415";"ICD-M00-M99"
"5925";"ICD-K750";"ICD-K00-K95"
"5926";"ICD-W780";"ICD-V00-Y99"
"5927";"ICD-E009";"ICD-E00-E89"
"5928";"ICD-Q559";"ICD-Q00-Q99"
"5929";"ICD-Z999";"ICD-Z00-Z99"
"5930";"ICD-T864";"ICD-S00-T98"
"5931";"ICD-Z944";"ICD-Z00-Z99"
"5932";"ICD-D479";"ICD-C00-D49"
"5933";"ICD-S999";"ICD-S00-T98"
"5934";"ICD-H188";"ICD-H00-H59"
"5935";"ICD-D175";"ICD-C00-D49"
"5936";"ICD-W002";"ICD-V00-Y99"
"5937";"ICD-N838";"ICD-N00-N99"
"5938";"ICD-N907";"ICD-N00-N99"
"5939";"ICD-J371";"ICD-J00-J99"
"5940";"ICD-C52";"ICD-NA"
"5941";"ICD-N751";"ICD-N00-N99"
"5942";"ICD-K559";"ICD-K00-K95"
"5943";"ICD-Y721";"ICD-V00-Y99"
"5944";"ICD-J985";"ICD-J00-J99"
"5945";"ICD-L929";"ICD-L00-L99"
"5946";"ICD-N370";"ICD-N00-N99"
"5947";"ICD-K626";"ICD-K00-K95"
"5948";"ICD-H523";"ICD-H00-H59"
"5949";"ICD-Q770";"ICD-Q00-Q99"
"5950";"ICD-R482";"ICD-R00-R99"
"5951";"ICD-W510";"ICD-V00-Y99"
"5952";"ICD-K100";"ICD-K00-K95"
"5953";"ICD-V289";"ICD-V00-Y99"
"5954";"ICD-Z547";"ICD-Z00-Z99"
"5955";"ICD-H948";"ICD-H60-H95"
"5956";"ICD-G939";"ICD-G00-G99"
"5957";"ICD-G548";"ICD-G00-G99"
"5958";"ICD-U831";"ICD-U00-U91"
"5959";"ICD-I879";"ICD-I00-I99"
"5960";"ICD-Y589";"ICD-V00-Y99"
"5961";"ICD-Q920";"ICD-Q00-Q99"
"5962";"ICD-J853";"ICD-J00-J99"
"5963";"ICD-Q970";"ICD-Q00-Q99"
"5964";"ICD-T300";"ICD-S00-T98"
"5965";"ICD-T831";"ICD-S00-T98"
"5966";"ICD-N270";"ICD-N00-N99"
"5967";"ICD-H619";"ICD-H60-H95"
"5968";"ICD-Q712";"ICD-Q00-Q99"
"5969";"ICD-W861";"ICD-V00-Y99"
"5970";"ICD-D518";"ICD-D50-D89"
"5971";"ICD-E724";"ICD-E00-E89"
"5972";"ICD-Q761";"ICD-Q00-Q99"
"5973";"ICD-K716";"ICD-K00-K95"
"5974";"ICD-N055";"ICD-N00-N99"
"5975";"ICD-N025";"ICD-N00-N99"
"5976";"ICD-K643";"ICD-K00-K95"
"5977";"ICD-E786";"ICD-E00-E89"
"5978";"ICD-F134";"ICD-F01-F99"
"5979";"ICD-E755";"ICD-E00-E89"
"5980";"ICD-D898";"ICD-D50-D89"
"5981";"ICD-Q361";"ICD-Q00-Q99"
"5982";"ICD-I823";"ICD-I00-I99"
"5983";"ICD-Y601";"ICD-V00-Y99"
"5984";"ICD-X594";"ICD-V00-Y99"
"5985";"ICD-I740";"ICD-I00-I99"
"5986";"ICD-Y840";"ICD-V00-Y99"
"5987";"ICD-W218";"ICD-V00-Y99"
"5988";"ICD-L081";"ICD-L00-L99"
"5989";"ICD-A959";"ICD-A00-B99"
"5990";"ICD-S708";"ICD-S00-T98"
"5991";"ICD-E231";"ICD-E00-E89"
"5992";"ICD-G311";"ICD-G00-G99"
"5993";"ICD-W195";"ICD-V00-Y99"
"5994";"ICD-B829";"ICD-A00-B99"
"5995";"ICD-D686";"ICD-D50-D89"
"5996";"ICD-T451";"ICD-S00-T98"
"5997";"ICD-G622";"ICD-G00-G99"
"5998";"ICD-K604";"ICD-K00-K95"
"5999";"ICD-Y733";"ICD-V00-Y99"
"6000";"ICD-E280";"ICD-E00-E89"
"6001";"ICD-D339";"ICD-C00-D49"
"6002";"ICD-W131";"ICD-V00-Y99"
"6003";"ICD-L958";"ICD-L00-L99"
"6004";"ICD-K501";"ICD-K00-K95"
"6005";"ICD-G608";"ICD-G00-G99"
"6006";"ICD-G628";"ICD-G00-G99"
"6007";"ICD-G128";"ICD-G00-G99"
"6008";"ICD-M815";"ICD-M00-M99"
"6009";"ICD-M802";"ICD-M00-M99"
"6010";"ICD-K256";"ICD-K00-K95"
"6011";"ICD-Q774";"ICD-Q00-Q99"
"6012";"ICD-Z636";"ICD-Z00-Z99"
"6013";"ICD-N251";"ICD-N00-N99"
"6014";"ICD-Z904";"ICD-Z00-Z99"
"6015";"ICD-S636";"ICD-S00-T98"
"6016";"ICD-S551";"ICD-S00-T98"
"6017";"ICD-W290";"ICD-V00-Y99"
"6018";"ICD-Q504";"ICD-Q00-Q99"
"6019";"ICD-Z418";"ICD-Z00-Z99"
"6020";"ICD-N906";"ICD-N00-N99"
"6021";"ICD-Y343";"ICD-V00-Y99"
"6022";"ICD-X300";"ICD-V00-Y99"
"6023";"ICD-Q779";"ICD-Q00-Q99"
"6024";"ICD-A560";"ICD-A00-B99"
"6025";"ICD-P373";"ICD-P00-P96"
"6026";"ICD-H313";"ICD-H00-H59"
"6027";"ICD-L259";"ICD-L00-L99"
"6028";"ICD-D280";"ICD-C00-D49"
"6029";"ICD-S609";"ICD-S00-T98"
"6030";"ICD-H722";"ICD-H60-H95"
"6031";"ICD-Z243";"ICD-Z00-Z99"
"6032";"ICD-Q050";"ICD-Q00-Q99"
"6033";"ICD-G979";"ICD-G00-G99"
"6034";"ICD-F068";"ICD-F01-F99"
"6035";"ICD-L739";"ICD-L00-L99"
"6036";"ICD-Q439";"ICD-Q00-Q99"
"6037";"ICD-D830";"ICD-D50-D89"
"6038";"ICD-W512";"ICD-V00-Y99"
"6039";"ICD-M939";"ICD-M00-M99"
"6040";"ICD-W032";"ICD-V00-Y99"
"6041";"ICD-A971";"ICD-A00-B99"
"6042";"ICD-E832";"ICD-E00-E89"
"6043";"ICD-T221";"ICD-S00-T98"
"6044";"ICD-W119";"ICD-V00-Y99"
"6045";"ICD-Q164";"ICD-Q00-Q99"
"6046";"ICD-M402";"ICD-M00-M99"
"6047";"ICD-Q187";"ICD-Q00-Q99"
"6048";"ICD-X709";"ICD-V00-Y99"
"6049";"ICD-X129";"ICD-V00-Y99"
"6050";"ICD-I983";"ICD-I00-I99"
"6051";"ICD-K767";"ICD-K00-K95"
"6052";"ICD-K870";"ICD-K00-K95"
"6053";"ICD-I850";"ICD-I00-I99"
"6054";"ICD-T859";"ICD-S00-T98"
"6055";"ICD-K253";"ICD-K00-K95"
"6056";"ICD-T925";"ICD-S00-T98"
"6057";"ICD-W870";"ICD-V00-Y99"
"6058";"ICD-Z439";"ICD-Z00-Z99"
"6059";"ICD-W578";"ICD-V00-Y99"
"6060";"ICD-Z358";"ICD-Z00-Z99"
"6061";"ICD-O470";"ICD-O00-O99"
"6062";"ICD-O800";"ICD-O00-O99"
"6063";"ICD-Z370";"ICD-Z00-Z99"
"6064";"ICD-T508";"ICD-S00-T98"
"6065";"ICD-M328";"ICD-M00-M99"
"6066";"ICD-G718";"ICD-G00-G99"
"6067";"ICD-D811";"ICD-D50-D89"
"6068";"ICD-Y593";"ICD-V00-Y99"
"6069";"ICD-K032";"ICD-K00-K95"
"6070";"ICD-D642";"ICD-D50-D89"
"6071";"ICD-E807";"ICD-E00-E89"
"6072";"ICD-I248";"ICD-I00-I99"
"6073";"ICD-I484";"ICD-I00-I99"
"6074";"ICD-G464";"ICD-G00-G99"
"6075";"ICD-Q019";"ICD-Q00-Q99"
"6076";"ICD-C714";"ICD-C00-D49"
"6077";"ICD-C695";"ICD-C00-D49"
"6078";"ICD-M548";"ICD-M00-M99"
"6079";"ICD-B023";"ICD-A00-B99"
"6080";"ICD-V890";"ICD-V00-Y99"
"6081";"ICD-T628";"ICD-S00-T98"
"6082";"ICD-M352";"ICD-M00-M99"
"6083";"ICD-L236";"ICD-L00-L99"
"6084";"ICD-E729";"ICD-E00-E89"
"6085";"ICD-S159";"ICD-S00-T98"
"6086";"ICD-Z823";"ICD-Z00-Z99"
"6087";"ICD-Q131";"ICD-Q00-Q99"
"6088";"ICD-A690";"ICD-A00-B99"
"6089";"ICD-V471";"ICD-V00-Y99"
"6090";"ICD-P713";"ICD-P00-P96"
"6091";"ICD-T492";"ICD-S00-T98"
"6092";"ICD-S578";"ICD-S00-T98"
"6093";"ICD-S682";"ICD-S00-T98"
"6094";"ICD-T870";"ICD-S00-T98"
"6095";"ICD-A500";"ICD-A00-B99"
"6096";"ICD-T370";"ICD-S00-T98"
"6097";"ICD-L744";"ICD-L00-L99"
"6098";"ICD-T805";"ICD-S00-T98"
"6099";"ICD-W184";"ICD-V00-Y99"
"6100";"ICD-H112";"ICD-H00-H59"
"6101";"ICD-W458";"ICD-V00-Y99"
"6102";"ICD-Q384";"ICD-Q00-Q99"
"6103";"ICD-Q987";"ICD-Q00-Q99"
"6104";"ICD-Q989";"ICD-Q00-Q99"
"6105";"ICD-M401";"ICD-M00-M99"
"6106";"ICD-M404";"ICD-M00-M99"
"6107";"ICD-Z981";"ICD-Z00-Z99"
"6108";"ICD-B658";"ICD-A00-B99"
"6109";"ICD-Q768";"ICD-Q00-Q99"
"6110";"ICD-T788";"ICD-S00-T98"
"6111";"ICD-Q272";"ICD-Q00-Q99"
"6112";"ICD-W810";"ICD-V00-Y99"
"6113";"ICD-K389";"ICD-K00-K95"
"6114";"ICD-X492";"ICD-V00-Y99"
"6115";"ICD-N511";"ICD-N00-N99"
"6116";"ICD-W258";"ICD-V00-Y99"
"6117";"ICD-V431";"ICD-V00-Y99"
"6118";"ICD-L904";"ICD-L00-L99"
"6119";"ICD-D168";"ICD-C00-D49"
"6120";"ICD-E059";"ICD-E00-E89"
"6121";"ICD-W030";"ICD-V00-Y99"
"6122";"ICD-A038";"ICD-A00-B99"
"6123";"ICD-W141";"ICD-V00-Y99"
"6124";"ICD-K764";"ICD-K00-K95"
"6125";"ICD-E272";"ICD-E00-E89"
"6126";"ICD-C479";"ICD-C00-D49"
"6127";"ICD-C494";"ICD-C00-D49"
"6128";"ICD-C728";"ICD-C00-D49"
"6129";"ICD-E350";"ICD-E00-E89"
"6130";"ICD-V426";"ICD-V00-Y99"
"6131";"ICD-N763";"ICD-N00-N99"
"6132";"ICD-Z044";"ICD-Z00-Z99"
"6133";"ICD-K828";"ICD-K00-K95"
"6134";"ICD-V011";"ICD-V00-Y99"
"6135";"ICD-E310";"ICD-E00-E89"
"6136";"ICD-D831";"ICD-D50-D89"
"6137";"ICD-Y502";"ICD-V00-Y99"
"6138";"ICD-F454";"ICD-F01-F99"
"6139";"ICD-T10+";"ICD-S00-T98"
"6140";"ICD-T110";"ICD-S00-T98"
"6141";"ICD-I682";"ICD-I00-I99"
"6142";"ICD-Y349";"ICD-V00-Y99"
"6143";"ICD-X599";"ICD-V00-Y99"
"6144";"ICD-Z21";"ICD-Z00-Z99"
"6145";"ICD-Z114";"ICD-Z00-Z99"
"6146";"ICD-S109";"ICD-S00-T98"
"6147";"ICD-F513";"ICD-F01-F99"
"6148";"ICD-L444";"ICD-L00-L99"
"6149";"ICD-J168";"ICD-J00-J99"
"6150";"ICD-I379";"ICD-I00-I99"
"6151";"ICD-R179";"ICD-R00-R99"
"6152";"ICD-Y830";"ICD-V00-Y99"
"6153";"ICD-M705";"ICD-M00-M99"
"6154";"ICD-K089";"ICD-K00-K95"
"6155";"ICD-L981";"ICD-L00-L99"
"6156";"ICD-D293";"ICD-C00-D49"
"6157";"ICD-L639";"ICD-L00-L99"
"6158";"ICD-S647";"ICD-S00-T98"
"6159";"ICD-W185";"ICD-V00-Y99"
"6160";"ICD-Y478";"ICD-V00-Y99"
"6161";"ICD-A543";"ICD-A00-B99"
"6162";"ICD-V061";"ICD-V00-Y99"
"6163";"ICD-T791";"ICD-S00-T98"
"6164";"ICD-T185";"ICD-S00-T98"
"6165";"ICD-E058";"ICD-E00-E89"
"6166";"ICD-Q927";"ICD-Q00-Q99"
"6167";"ICD-A327";"ICD-A00-B99"
"6168";"ICD-Z093";"ICD-Z00-Z99"
"6169";"ICD-Y585";"ICD-V00-Y99"
"6170";"ICD-T851";"ICD-S00-T98"
"6171";"ICD-M485";"ICD-M00-M99"
"6172";"ICD-P150";"ICD-P00-P96"
"6173";"ICD-M016";"ICD-M00-M99"
"6174";"ICD-G909";"ICD-G00-G99"
"6175";"ICD-Y584";"ICD-V00-Y99"
"6176";"ICD-F708";"ICD-F01-F99"
"6177";"ICD-S550";"ICD-S00-T98"
"6178";"ICD-B975";"ICD-A00-B99"
"6179";"ICD-T938";"ICD-S00-T98"
"6180";"ICD-K435";"ICD-K00-K95"
"6181";"ICD-Q823";"ICD-Q00-Q99"
"6182";"ICD-G736";"ICD-G00-G99"
"6183";"ICD-G708";"ICD-G00-G99"
"6184";"ICD-A399";"ICD-A00-B99"
"6185";"ICD-A392";"ICD-A00-B99"
"6186";"ICD-S861";"ICD-S00-T98"
"6187";"ICD-J321";"ICD-J00-J99"
"6188";"ICD-X491";"ICD-V00-Y99"
"6189";"ICD-E743";"ICD-E00-E89"
"6190";"ICD-M478";"ICD-M00-M99"
"6191";"ICD-T028";"ICD-S00-T98"
"6192";"ICD-V847";"ICD-V00-Y99"
"6193";"ICD-S570";"ICD-S00-T98"
"6194";"ICD-S771";"ICD-S00-T98"
"6195";"ICD-T07";"ICD-S00-T98"
"6196";"ICD-Q820";"ICD-Q00-Q99"
"6197";"ICD-Z941";"ICD-Z00-Z99"
"6198";"ICD-Q563";"ICD-Q00-Q99"
"6199";"ICD-Q931";"ICD-Q00-Q99"
"6200";"ICD-M928";"ICD-M00-M99"
"6201";"ICD-Z388";"ICD-Z00-Z99"
"6202";"ICD-M509";"ICD-M00-M99"
"6203";"ICD-T848";"ICD-S00-T98"
"6204";"ICD-D360";"ICD-C00-D49"
"6205";"ICD-E141";"ICD-E00-E89"
"6206";"ICD-M330";"ICD-M00-M99"
"6207";"ICD-W798";"ICD-V00-Y99"
"6208";"ICD-W095";"ICD-V00-Y99"
"6209";"ICD-T874";"ICD-S00-T98"
"6210";"ICD-S508";"ICD-S00-T98"
"6211";"ICD-B589";"ICD-A00-B99"
"6212";"ICD-P102";"ICD-P00-P96"
"6213";"ICD-D294";"ICD-C00-D49"
"6214";"ICD-M790";"ICD-M00-M99"
"6215";"ICD-S198";"ICD-S00-T98"
"6216";"ICD-I730";"ICD-I00-I99"
"6217";"ICD-H621";"ICD-H60-H95"
"6218";"ICD-N060";"ICD-N00-N99"
"6219";"ICD-C797";"ICD-C00-D49"
"6220";"ICD-C478";"ICD-C00-D49"
"6221";"ICD-F452";"ICD-F01-F99"
"6222";"ICD-M148";"ICD-M00-M99"
"6223";"ICD-S378";"ICD-S00-T98"
"6224";"ICD-D350";"ICD-C00-D49"
"6225";"ICD-S442";"ICD-S00-T98"
"6226";"ICD-S469";"ICD-S00-T98"
"6227";"ICD-M856";"ICD-M00-M99"
"6228";"ICD-Y850";"ICD-V00-Y99"
"6229";"ICD-W519";"ICD-V00-Y99"
"6230";"ICD-L563";"ICD-L00-L99"
"6231";"ICD-C783";"ICD-C00-D49"
"6232";"ICD-C383";"ICD-C00-D49"
"6233";"ICD-B690";"ICD-A00-B99"
"6234";"ICD-E240";"ICD-E00-E89"
"6235";"ICD-E071";"ICD-E00-E89"
"6236";"ICD-E249";"ICD-E00-E89"
"6237";"ICD-G735";"ICD-G00-G99"
"6238";"ICD-I152";"ICD-I00-I99"
"6239";"ICD-E270";"ICD-E00-E89"
"6240";"ICD-E248";"ICD-E00-E89"
"6241";"ICD-M828";"ICD-M00-M99"
"6242";"ICD-M991";"ICD-M00-M99"
"6243";"ICD-H475";"ICD-H00-H59"
"6244";"ICD-S902";"ICD-S00-T98"
"6245";"ICD-M493";"ICD-M00-M99"
"6246";"ICD-T498";"ICD-S00-T98"
"6247";"ICD-M711";"ICD-M00-M99"
"6248";"ICD-E275";"ICD-E00-E89"
"6249";"ICD-H192";"ICD-H00-H59"
"6250";"ICD-B021";"ICD-A00-B99"
"6251";"ICD-C229";"ICD-C00-D49"
"6252";"ICD-T403";"ICD-S00-T98"
"6253";"ICD-G245";"ICD-G00-G99"
"6254";"ICD-S862";"ICD-S00-T98"
"6255";"ICD-R201";"ICD-R00-R99"
"6256";"ICD-W309";"ICD-V00-Y99"
"6257";"ICD-D131";"ICD-C00-D49"
"6258";"ICD-D136";"ICD-C00-D49"
"6259";"ICD-Z479";"ICD-Z00-Z99"
"6260";"ICD-T603";"ICD-S00-T98"
"6261";"ICD-N202";"ICD-N00-N99"
"6262";"ICD-W173";"ICD-V00-Y99"
"6263";"ICD-D551";"ICD-D50-D89"
"6264";"ICD-J431";"ICD-J00-J99"
"6265";"ICD-D165";"ICD-C00-D49"
"6266";"ICD-L982";"ICD-L00-L99"
"6267";"ICD-D222";"ICD-C00-D49"
"6268";"ICD-K005";"ICD-K00-K95"
"6269";"ICD-G560";"ICD-G00-G99"
"6270";"ICD-N033";"ICD-N00-N99"
"6271";"ICD-H474";"ICD-H00-H59"
"6272";"ICD-F688";"ICD-F01-F99"
"6273";"ICD-P045";"ICD-P00-P96"
"6274";"ICD-V869";"ICD-V00-Y99"
"6275";"ICD-T360";"ICD-S00-T98"
"6276";"ICD-L291";"ICD-L00-L99"
"6277";"ICD-X489";"ICD-V00-Y99"
"6278";"ICD-H333";"ICD-H00-H59"
"6279";"ICD-V099";"ICD-V00-Y99"
"6280";"ICD-Q934";"ICD-Q00-Q99"
"6281";"ICD-Q926";"ICD-Q00-Q99"
"6282";"ICD-W238";"ICD-V00-Y99"
"6283";"ICD-W084";"ICD-V00-Y99"
"6284";"ICD-A740";"ICD-A00-B99"
"6285";"ICD-Q451";"ICD-Q00-Q99"
"6286";"ICD-S947";"ICD-S00-T98"
"6287";"ICD-S948";"ICD-S00-T98"
"6288";"ICD-W072";"ICD-V00-Y99"
"6289";"ICD-K388";"ICD-K00-K95"
"6290";"ICD-S667";"ICD-S00-T98"
"6291";"ICD-J011";"ICD-J00-J99"
"6292";"ICD-T142";"ICD-S00-T98"
"6293";"ICD-K903";"ICD-K00-K95"
"6294";"ICD-J382";"ICD-J00-J99"
"6295";"ICD-T090";"ICD-S00-T98"
"6296";"ICD-K611";"ICD-K00-K95"
"6297";"ICD-K800";"ICD-K00-K95"
"6298";"ICD-Z019";"ICD-Z00-Z99"
"6299";"ICD-S534";"ICD-S00-T98"
"6300";"ICD-D337";"ICD-C00-D49"
"6301";"ICD-K131";"ICD-K00-K95"
"6302";"ICD-X350";"ICD-V00-Y99"
"6303";"ICD-D214";"ICD-C00-D49"
"6304";"ICD-Z750";"ICD-Z00-Z99"
"6305";"ICD-Y069";"ICD-V00-Y99"
"6306";"ICD-G528";"ICD-G00-G99"
"6307";"ICD-R81";"ICD-R00-R99"
"6308";"ICD-P148";"ICD-P00-P96"
"6309";"ICD-X438";"ICD-V00-Y99"
"6310";"ICD-E802";"ICD-E00-E89"
"6311";"ICD-Q939";"ICD-Q00-Q99"
"6312";"ICD-J172";"ICD-J00-J99"
"6313";"ICD-I698";"ICD-I00-I99"
"6314";"ICD-I341";"ICD-I00-I99"
"6315";"ICD-T501";"ICD-S00-T98"
"6316";"ICD-L111";"ICD-L00-L99"
"6317";"ICD-Q443";"ICD-Q00-Q99"
